	ABi1	ABi2	ABi3	ABi5	ABi6	ABi7	ALB1	ALB2	ALB3	ALB5	ALB6	ALB7	CBi1	CBi2	CBi3	CBi5	CBi6	CBi7	CLB1	CLB2	CLB3	CLB5	CLB6	CLB7
Acidobacteria Acidobacteria	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	30	100
Acidobacteria Chloracidobacteria	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	2	0
Acidobacteria RB25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acidobacteria Sva0725	0	0	0	1	0	0	0	4	0	1	1	0	1	0	3	0	0	0	0	1	1	1	0	1
Actinobacteria Actinobacteria	236	102	146	14	6	44	138	93	158	114	568	160	56	29	41	29	75	32	41	70	73	55	37	26
Bacteroidetes unclassified	55	38	71	13	5	23	10	30	29	24	39	24	12	15	19	16	14	30	23	23	26	27	26	19
Bacteroidetes Sphingobacteria	108	56	135	68	49	30	35	31	52	62	92	81	25	22	34	44	34	95	23	28	38	49	53	63
Bacteroidetes Bacteroidia	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes Flavobacteria	268	496	347	741	740	742	234	313	164	556	785	380	47	72	68	243	170	167	39	61	59	174	200	174
Chloroflexi Anaerolineae	5	3	3	0	0	0	3	1	1	3	8	0	1	1	2	1	2	1	11	4	11	3	4	7
Chloroflexi Dehalococcoidetes	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexi SOGA31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cyanobacteria unclassified	1	2	5	7	1	1	3	16	8	15	6	0	0	9	4	4	7	12	15	17	18	8	9	13
Cyanobacteria 4C0d-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cyanobacteria Nostocophycideae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Cyanobacteria Oscillatoriophycideae	1	3	0	7	0	9	72	61	41	49	31	8	3	15	8	56	41	26	35	16	26	13	53	16
Cyanobacteria Synechococcophycideae	4	36	5	23	10	2	21	63	39	77	25	16	4	106	25	126	73	164	90	55	46	20	50	67
Firmicutes Bacilli	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1
Firmicutes Clostridia	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Fusobacteria Fusobacteria	0	1	0	0	1	0	0	0	0	0	1	4	0	2	0	1	0	5	1	0	1	5	1	1
Gemmatimonadetes Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GN02 BB34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GN02 GKS2-174	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GN02 VC12-cl04	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Lentisphaerae Lentisphaerae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OP3 koll11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Planctomycetes agg27	0	14	1	2	4	0	1	0	2	2	5	5	1	0	1	0	0	5	1	2	0	2	3	2
Planctomycetes Phycisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Planctomycetes Planctomycea	13	12	10	13	12	12	9	7	20	30	28	42	3	0	3	0	6	4	3	4	10	6	6	4
Planctomycetes vadinHA49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Proteobacteria Gammaproteobacteria	368	238	579	103	183	278	274	136	294	986	3640	791	76	67	154	121	108	100	63	133	118	235	119	329
Proteobacteria unclassified	7	2	2	2	3	5	5	1	3	1	10	2	4	2	6	0	1	2	4	7	2	3	3	0
Proteobacteria Alphaproteobacteria	165	306	138	254	255	130	131	138	115	113	478	115	67	177	83	203	222	236	144	165	167	152	184	171
Proteobacteria Betaproteobacteria	3	4	1	0	0	0	1	5	4	12	70	19	1	0	0	0	0	0	3	1	0	1	0	1
Proteobacteria Deltaproteobacteria	26	12	25	0	2	7	2	10	6	7	20	14	12	5	3	6	6	4	4	13	6	7	7	5
Proteobacteria Epsilonproteobacteria	0	0	1	0	11	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	5
SBR1093 VHS-B5-50	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirochaetes Spirochaetes	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Synergistetes Synergistia	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
TM7 unclassified	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unclassified unclassified	71	54	41	29	15	38	32	35	38	46	89	39	22	23	29	26	31	21	28	30	38	32	30	25
Verrucomicrobia Opitutae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
Verrucomicrobia Verrucomicrobiae	0	2	2	9	2	1	1	5	1	3	2	2	0	0	0	2	0	13	3	2	3	1	1	2
ZB2 unclassified	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
